Model,Threshold,Accuracy (%),Sensitivity,Specificity,Precision,AUC
Random Forest,0.1,68.62745098039215,1.0,0.23809523809523808,0.6521739130434783,0.8952380952380953
Random Forest,0.2,68.62745098039215,1.0,0.23809523809523808,0.6521739130434783,0.8952380952380953
Random Forest,0.30000000000000004,72.54901960784314,0.9666666666666667,0.38095238095238093,0.6904761904761905,0.8952380952380953
Random Forest,0.4,78.43137254901961,0.9666666666666667,0.5238095238095238,0.7435897435897436,0.8952380952380953
Random Forest,0.5,84.31372549019608,0.9666666666666667,0.6666666666666666,0.8055555555555556,0.8952380952380953
Random Forest,0.6,84.31372549019608,0.9,0.7619047619047619,0.84375,0.8952380952380953
Random Forest,0.7000000000000001,82.35294117647058,0.8,0.8571428571428571,0.8888888888888888,0.8952380952380953
Random Forest,0.8,74.50980392156863,0.6333333333333333,0.9047619047619048,0.9047619047619048,0.8952380952380953
Random Forest,0.9,52.94117647058824,0.2,1.0,1.0,0.8952380952380953
XGBoost,0.1,58.82352941176471,1.0,0.0,0.5882352941176471,0.9349206349206349
XGBoost,0.2,58.82352941176471,1.0,0.0,0.5882352941176471,0.9349206349206349
XGBoost,0.30000000000000004,58.82352941176471,1.0,0.0,0.5882352941176471,0.9349206349206349
XGBoost,0.4,68.62745098039215,1.0,0.23809523809523808,0.6521739130434783,0.9349206349206349
XGBoost,0.5,76.47058823529412,1.0,0.42857142857142855,0.7142857142857143,0.9349206349206349
XGBoost,0.6,78.43137254901961,0.9666666666666667,0.5238095238095238,0.7435897435897436,0.9349206349206349
XGBoost,0.7000000000000001,90.19607843137256,0.9333333333333333,0.8571428571428571,0.9032258064516129,0.9349206349206349
XGBoost,0.8,64.70588235294117,0.43333333333333335,0.9523809523809523,0.9285714285714286,0.9349206349206349
XGBoost,0.9,41.17647058823529,0.0,1.0,0.0,0.9349206349206349
LightGBM,0.1,58.82352941176471,1.0,0.0,0.5882352941176471,0.9079365079365079
LightGBM,0.2,58.82352941176471,1.0,0.0,0.5882352941176471,0.9079365079365079
LightGBM,0.30000000000000004,62.745098039215684,1.0,0.09523809523809523,0.6122448979591837,0.9079365079365079
LightGBM,0.4,68.62745098039215,1.0,0.23809523809523808,0.6521739130434783,0.9079365079365079
LightGBM,0.5,72.54901960784314,1.0,0.3333333333333333,0.6818181818181818,0.9079365079365079
LightGBM,0.6,84.31372549019608,1.0,0.6190476190476191,0.7894736842105263,0.9079365079365079
LightGBM,0.7000000000000001,88.23529411764706,0.9,0.8571428571428571,0.9,0.9079365079365079
LightGBM,0.8,70.58823529411765,0.5666666666666667,0.9047619047619048,0.8947368421052632,0.9079365079365079
LightGBM,0.9,41.17647058823529,0.0,1.0,0.0,0.9079365079365079
Logistic Regression,0.1,60.78431372549019,1.0,0.047619047619047616,0.6,0.8698412698412697
Logistic Regression,0.2,66.66666666666666,1.0,0.19047619047619047,0.6382978723404256,0.8698412698412697
Logistic Regression,0.30000000000000004,70.58823529411765,0.9666666666666667,0.3333333333333333,0.6744186046511628,0.8698412698412697
Logistic Regression,0.4,80.3921568627451,0.9666666666666667,0.5714285714285714,0.7631578947368421,0.8698412698412697
Logistic Regression,0.5,82.35294117647058,0.9666666666666667,0.6190476190476191,0.7837837837837838,0.8698412698412697
Logistic Regression,0.6,80.3921568627451,0.9,0.6666666666666666,0.7941176470588235,0.8698412698412697
Logistic Regression,0.7000000000000001,82.35294117647058,0.8333333333333334,0.8095238095238095,0.8620689655172413,0.8698412698412697
Logistic Regression,0.8,78.43137254901961,0.7333333333333333,0.8571428571428571,0.88,0.8698412698412697
Logistic Regression,0.9,70.58823529411765,0.5666666666666667,0.9047619047619048,0.8947368421052632,0.8698412698412697
